city,Lat,Long,Population
Lyon,45.748457,4.846711,472317
Madrid,40.4165020941502,-3.70256423950195,3255944
Maidstone,18.10164683327222,-77.5728393951575,1667
Malaysia,2.5,112.5,1620000
Manchester,53.45,-2.2333333,2782141
Manhattan,40.7834345,-73.9662495,1487536
Manila,14.6042,120.9822,1600000
Marseille,43.2969485316727,5.38106918334961,794811
Medellin,6.25184,-75.563591,1999979
Melbourne,-37.8139965641595,144.963322877884,4246375
Memphis,35.1495343,-90.0489801,655770
Mexico,23.0,-102.0,8800000
Miami,25.7742658,-80.1936589,441003
Milan,45.4642693810258,9.1895055770874,1236837
Milwaukee,43.0389025,-87.9064736,600155
Minneapolis,44.9799654,-93.2638361,410939
Missoula,46.872146,-113.9939982,71022
Montevideo,-34.90328425015386,-56.18815898895264,1270737
Monticello,45.360163,8.573336,1216
Montreal,45.5088375,-73.587809,1600000
Moscow,55.7522222,37.6155556,10381222
Munich,48.1374325498109,11.5754914283752,1260391
Nairobi,-1.2833333,36.8166667,2750547
New Delhi,28.651952,77.231495,10927986
New Orleans,29.9546482,-90.075072,389617
New York,40.7142691,-74.0059729,8175133
Newcastle,54.9732787391176,-1.61396026611328,192382
Nis,43.3247222,21.9033333,250000
Novosibirsk,55.0415,82.9346,1419007
Nuremberg,49.45420526135589,11.077523231506348,499237
Oklahoma City,35.4675602,-97.5164276,631346
Orlando,28.5383355,-81.3792365,270934
Osaka,34.6937398415059,135.502181947231,2592413
Oslo,59.91273,10.74609,580000
Ottawa,45.4111650792678,-75.6981182098389,812129
Palermo,38.13205393490368,13.335612418473081,648260
Panama,9.0,-80.0,3410676
Paramaribo,5.866378871258677,-55.16681671142578,223757
Paris,48.85341,2.3488,2138551
Perth,-31.95224,115.861397,1896548
Philadelphia,39.952335,-75.163789,1567442
Phnom Penh,11.56245,104.916006,1573544
Phoenix,33.4483771,-112.0740373,1563025
Piscataway,40.4992714,-74.3990392,56044
Pittsburgh,40.4406248,-79.9958864,304391
Portland,18.1333333,-76.5333333,80787
Prague,50.0880428938909,14.4207572937012,1165581
Pune,18.519574228807464,73.85535478591919,2935744
Quebec City,46.8122791164294,-71.2145376205444,528595
Quito,-0.2298539672002563,-78.52495193481445,1399814
Raleigh,35.772096,-78.6386145,451066
Redding,40.5865396,-122.3916754,91582
Reykjavik,64.1354756236931,-21.8954086303711,118918
Richmond,37.5537575,-77.4602617,220289
Riga,56.9460041154056,24.1058921813965,742572
Riyadh,24.68773227003775,46.72184944152832,4205961
Rome,41.891934052998856,12.51132607922509,2318895
Roseburg,43.216505,-123.3417381,22114
Rotterdam,51.9225,4.479167,598199
Roubaix,50.694207,3.174556,95721
Sacramento,38.5815719,-121.4943996,490712
Salem,44.9428975,-123.0350963,164549
Salt Lake City,40.7607794,-111.8910474,192672
San Antonio,29.4241219,-98.4936282,1469845
San Diego,32.71571,-117.16472,1394928
San Francisco,37.7749295,-122.4194155,864816
San Jose,9.9333333,-84.0833333,335007
San Juan,18.4663338,-66.1057217,418140
Santiago,-33.456937736669424,-70.64826965332031,4837295
Sao Paulo,-23.5475,-46.63611111,10021295
Sapporo,43.066667,141.35,1883027
Saskatoon,52.13238,-106.66892,198958
Savannah,32.0835407,-81.0998342,145674
Scranton,41.40916,-75.6649,77118
Seattle,47.6062095,-122.3320708,684451
Secaucus,40.7895453,-74.0565298,19104
Seoul,37.566,126.9784,10349312
Shanghai,31.2222222,121.4580556,22315474
Shenzhen,22.5455376639819,114.068298339844,10358381
Singapore,1.28966883937733,103.850069046021,3547809
Sofia,42.6975135281805,23.324146270752,1152556
South Bend,41.6833813,-86.2500066,101516
St Louis,16.0179309620427,-16.4896202087402,176000
St Petersburg,59.93863,30.31413,5028000
Stamford,41.0534302,-73.5387341,128874
Stockholm,59.3325765361753,18.0649030208588,1515017
Strasbourg,48.58392,7.74553,274845
Sydney,-33.8678499639382,151.207323074341,4627345
Syracuse,43.0481221,-76.1474244,144142
Taipei,25.047763,121.531846,7871900
Tallinn,59.4369583424862,24.7535276412964,394024
Tampa,27.9475216,-82.4584279,369075
Tbilisi,41.694113,44.833682,1049498
